#,Pair,Amount,Price,Fee,FeeCurrency,Date
82223450,BCH/BTC,4.1137157,0.067059,-0.00055172,BTC,2017-10-28 12:01:05
82223451,BCH/BTC,3.28115006,0.067152,-0.00044067,BTC,2017-10-28 12:01:05
82223452,BCH/BTC,2.60513424,0.067162,-0.00034993,BTC,2017-10-28 12:01:05
82223896,BCH/BTC,6.0,0.06728,-0.006,BCH,2017-10-28 12:03:13
82224679,BCH/BTC,0.00000529,0.067486,-0.00000001,BCH,2017-10-28 12:04:52
82224680,BCH/BTC,0.000005,0.067487,-0.00000001,BCH,2017-10-28 12:04:52
82225540,BCH/BTC,1.87850032,0.067982,-0.003757,BCH,2017-10-28 12:07:45
82225779,BCH/BTC,0.09336484,0.068198,-0.00018673,BCH,2017-10-28 12:08:38
82225857,BCH/BTC,0.79098966,0.0682,-0.00079099,BCH,2017-10-28 12:08:52
82225859,BCH/BTC,0.151181,0.0682,-0.00015118,BCH,2017-10-28 12:08:52
82225889,BCH/BTC,1.52847221,0.0682,-0.00152847,BCH,2017-10-28 12:08:59
82225893,BCH/BTC,1.77769229,0.0682,-0.00177769,BCH,2017-10-28 12:08:59
82500398,BCH/BTC,0.05621061,0.087656,-0.00011242,BCH,2017-10-29 11:17:55
82500399,BCH/BTC,0.08370912,0.087656,-0.00016742,BCH,2017-10-29 11:17:55
82500400,BCH/BTC,8.71,0.087778,-0.01742,BCH,2017-10-29 11:17:55
82500401,BCH/BTC,9.59018027,0.087779,-0.01918036,BCH,2017-10-29 11:17:55
82941454,BCH/BTC,-0.97215914,0.0751,-0.00007301,BTC,2017-10-30 12:06:12
82941650,BCH/BTC,-0.544958,0.0748,-0.00004076,BTC,2017-10-30 12:07:06
82941784,BCH/BTC,-2.3245,0.074658,-0.00034709,BTC,2017-10-30 12:07:44
82941785,BCH/BTC,-3.42374084,0.074658,-0.00051122,BTC,2017-10-30 12:07:44
82941786,BCH/BTC,-6.77775916,0.074657,-0.00101201,BTC,2017-10-30 12:07:44
82943679,BCH/BTC,-3.9110768,0.075,-0.00029333,BTC,2017-10-30 12:15:55
82944028,BCH/BTC,-2.0889232,0.075,-0.00015667,BTC,2017-10-30 12:17:50
82952587,BCH/BTC,1.60979216,0.07518,-0.00160979,BCH,2017-10-30 12:55:56
82952607,BCH/BTC,0.65121066,0.07518,-0.00065121,BCH,2017-10-30 12:56:05
82952615,BCH/BTC,0.98550001,0.07518,-0.0009855,BCH,2017-10-30 12:56:12
82952668,BCH/BTC,1.75349717,0.07518,-0.0017535,BCH,2017-10-30 12:56:30
82962792,BCH/BTC,1.06677139,0.076001,-0.00213354,BCH,2017-10-30 13:52:24
82962793,BCH/BTC,1.06677139,0.076001,-0.00213354,BCH,2017-10-30 13:52:24
82962803,BCH/BTC,7.86645722,0.07601,-0.00786646,BCH,2017-10-30 13:52:26
82966687,BCH/BTC,0.564236,0.076,-0.00056424,BCH,2017-10-30 14:09:47
82966913,BCH/BTC,2.509648,0.076,-0.00250965,BCH,2017-10-30 14:11:03
82967096,BCH/BTC,1.697016,0.076,-0.00169702,BCH,2017-10-30 14:12:02
83146430,BCH/BTC,2.0694,0.072,-0.0020694,BCH,2017-10-31 10:11:46
83152601,BCH/BTC,-0.3005005,0.07215,-0.0003005,BCH,2017-10-31 10:59:03
83165716,BCH/BTC,0.3067,0.0707,-0.0003067,BCH,2017-10-31 11:50:34
84589464,BCH/BTC,5.0,0.08945,-0.005,BCH,2017-11-03 06:30:20
84590993,BCH/BTC,5.0,0.089,-0.005,BCH,2017-11-03 06:34:21
84600571,BCH/BTC,3.0,0.0884,-0.003,BCH,2017-11-03 07:05:26
84608491,BCH/BTC,-4.99671236,0.0895,-0.00499671,BCH,2017-11-03 07:30:50
84608492,BCH/BTC,-8.00328764,0.0895,-0.00800329,BCH,2017-11-03 07:30:50
84617033,BCH/BTC,1.06171663,0.09,-0.00009555,BTC,2017-11-03 07:44:07
84617086,BCH/BTC,1.7635,0.09,-0.00015872,BTC,2017-11-03 07:44:09
84634837,BCH/BTC,1.52,0.0905,-0.00013756,BTC,2017-11-03 08:20:20
84634883,BCH/BTC,3.35209955,0.0905,-0.00030337,BTC,2017-11-03 08:20:31
84634884,BCH/BTC,8.33515179,0.0905,-0.00075433,BTC,2017-11-03 08:20:31
84634921,BCH/BTC,3.45909905,0.0905,-0.00031305,BTC,2017-11-03 08:20:33
84634938,BCH/BTC,3.08946826,0.0905,-0.0002796,BTC,2017-11-03 08:20:34
84634946,BCH/BTC,0.24418135,0.0905,-0.0000221,BTC,2017-11-03 08:20:34
84638708,BCH/BTC,1.464184,0.0901,-0.00013192,BTC,2017-11-03 08:30:26
84638829,BCH/BTC,7.49,0.0901,-0.00067485,BTC,2017-11-03 08:30:37
84638847,BCH/BTC,5.82930096,0.0901,-0.00052522,BTC,2017-11-03 08:30:39
84638885,BCH/BTC,0.0052,0.0901,-0.00000047,BTC,2017-11-03 08:30:42
84638906,BCH/BTC,0.12747413,0.0901,-0.00001149,BTC,2017-11-03 08:30:45
84638934,BCH/BTC,1.1471,0.0901,-0.00010335,BTC,2017-11-03 08:30:54
