取引日時,通貨,取引種別,価格,BTC,手数料(BTC),残高(BTC),JPY,残高(JPY),ETH,手数料(ETH),残高(ETH),LTC,手数料(LTC),残高(LTC),ETC,手数料(ETC),残高(ETC),BCH,手数料(BCH),残高(BCH),MONA,手数料(MONA),残高(MONA),注文 ID
2017/10/29 19:26:06,BTC/JPY,買い,656180,0.41853564,-0.00012555,1.62119652,-274635,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171029-102323-140539
2017/10/29 19:26:05,BTC/JPY,買い,656180,0.60000061,-0.00018001,1.20278643,-393708,274645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171029-102323-140539
2017/10/29 19:26:04,BTC/JPY,買い,656180,0.13246375,-0.00003974,0.60296583,-86920,668353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171029-102323-140539
2017/10/29 19:25:48,BTC/JPY,買い,656180,0.469,-0.0001407,0.47054182,-307748,755273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171029-102323-140539
2017/10/28 11:33:26,BTC/JPY,買い,654579,0.38,-0.000114,1.50207752,-248740,67376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023326-192827
2017/10/28 11:33:26,BTC/JPY,買い,654580,0.12,-0.000036,1.12219152,-78550,316116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023326-192827
2017/10/28 11:31:39,BTC/JPY,売り,652693,-1.1197,-0.00033591,1.00222752,730821,1394666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,652692,-0.47194393,-0.00014157,2.12226343,308034,663845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,652703,-0.01736629,-0.00000521,2.59434893,11336,355811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653000,-0.01,-0.000003,2.61172043,6530,344475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653000,-0.2,-0.00006,2.62172343,130600,337945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653001,-0.0020757,-0.00000063,2.82178343,1356,207345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653000,-0.02,-0.000006,2.82385976,13060,205989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653000,-0.08,-0.000024,2.84386576,52240,192929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653100,-0.01,-0.000003,2.92388976,6531,140689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 11:31:39,BTC/JPY,売り,653129,-0.06891408,-0.00002068,2.93389276,45010,134158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-023139-184441
2017/10/28 10:18:52,BTC/JPY,買い,662711,0.5,-0.00015,3.00282752,-331356,89148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-011850-892773
2017/10/28 10:09:13,BTC/JPY,売り,663000,-0.0497,-0.00001491,2.50297752,32951,420504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-010820-850837
2017/10/28 10:09:13,BTC/JPY,売り,663000,-0.4503,-0.00013509,2.55269243,298549,387553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-010820-850837
2017/10/28 10:05:28,BTC/JPY,買い,662498,0.5,-0.00015,3.00312752,-331249,89004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-010528-839410
2017/10/28 10:01:11,BTC/JPY,売り,659500,-0.1105804,-0.00003317,2.50327752,72927,420253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-005723-806620
2017/10/28 10:01:11,BTC/JPY,売り,659500,-0.3894196,-0.00011683,2.61389109,256823,347326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-005723-806620
2017/10/28 09:54:19,BTC/JPY,買い,659400,0.37636545,-0.0001129,3.00342752,-248176,90503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-005419-794493
2017/10/28 09:54:19,BTC/JPY,買い,659397,0.09059896,-0.00002718,2.62717497,-59740,338679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-005419-794493
2017/10/28 09:54:19,BTC/JPY,買い,659399,0.03303559,-0.00000992,2.53660319,-21783,398419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171028-005419-794493
2017/10/28 02:04:40,BTC/JPY,買い,653100,0.5,-0.00015,2.50357752,-326550,420202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-170159-942383
2017/10/28 01:33:01,BTC/JPY,買い,653150,0.5,-0.00015,2.00372752,-326575,746752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-162709-716720
2017/10/28 01:18:34,BTC/JPY,買い,655154,0.02218564,-0.00000665,1.50387752,-14536,1073327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-161810-668715
2017/10/28 01:18:33,BTC/JPY,買い,655154,0.3,-0.00009,1.48169853,-196546,1087863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-161810-668715
2017/10/28 01:18:32,BTC/JPY,買い,655154,0.1,-0.00003,1.18178853,-65515,1284409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-161810-668715
2017/10/28 01:18:29,BTC/JPY,買い,655154,0.07781436,-0.00002335,1.08181853,-50980,1349924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-161810-668715
2017/10/28 01:15:01,BTC/JPY,買い,655832,1,-0.0003,1.00402752,-655832,899519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-161403-645312
2017/10/27 23:34:34,BTC/JPY,売り,650000,-0.04,-0.00002,0.00432252,26000,555351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-143301-118447
2017/10/27 23:25:35,BTC/JPY,売り,649641,-0.9144,-0.0004572,0.04434252,594031,2029351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-142535-084691
2017/10/27 23:25:35,BTC/JPY,売り,649657,-0.6856,-0.0003428,0.95919972,445405,1435320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR20171027-142535-084691
