"#","Market","Type","Rate","Amount","Total","Fee","Timestamp"
"20141657","SMART/BTC","Sell","0.00001303","314.47828691","0.004098","0.00000820","29/10/2017 8:57:00 AM"
"19928910","SMART/BTC","Buy","0.00002853","777.00000000","0.022168","0.00004434","26/10/2017 9:55:00 AM"
"20142386","SMART/BTC","Sell","0.00001200","1211.71635055","0.014541","0.00002908","29/10/2017 9:08:00 AM"
"20142582","SMART/BTC","Sell","0.00001200","4566.68739718","0.054800","0.00010960","29/10/2017 9:11:00 AM"
"19949809","SMART/BTC","Buy","0.00002646","9.42051070","0.000249","0.00000050","26/10/2017 6:53:00 PM"
"20141056","SMART/BTC","Sell","0.00001301","31.44564338","0.000409","0.00000082","29/10/2017 8:46:00 AM"
"20141057","SMART/BTC","Sell","0.00001300","20.00000000","0.000260","0.00000052","29/10/2017 8:46:00 AM"
"19949774","SMART/BTC","Buy","0.00002647","14.49161027","0.000384","0.00000077","26/10/2017 6:52:00 PM"
"20142226","SMART/BTC","Sell","0.00001287","100.48791306","0.001293","0.00000259","29/10/2017 9:06:00 AM"
"20142378","SMART/BTC","Sell","0.00001200","70.09419900","0.000841","0.00000168","29/10/2017 9:08:00 AM"
"19903679","SMART/BTC","Buy","0.00002504","1000.00000000","0.025040","0.00005008","26/10/2017 2:54:00 AM"
"19926774","SMART/BTC","Buy","0.00002999","700.00000000","0.020993","0.00004199","26/10/2017 9:13:00 AM"
"19928832","SMART/BTC","Buy","0.00002989","250.00000000","0.007473","0.00001494","26/10/2017 9:53:00 AM"
"19897877","SMART/BTC","Buy","0.00002550","1500.00000000","0.038250","0.00007650","26/10/2017 12:56:00 AM"
"19898147","SMART/BTC","Buy","0.00002550","77.77925265","0.001983","0.00000397","26/10/2017 1:02:00 AM"
"19900538","SMART/BTC","Buy","0.00002550","77.34400000","0.001972","0.00000394","26/10/2017 1:58:00 AM"
"19901081","SMART/BTC","Buy","0.00002621","300.00000000","0.007863","0.00001573","26/10/2017 2:11:00 AM"
"19903464","SMART/BTC","Buy","0.00002583","256.00000000","0.006612","0.00001322","26/10/2017 2:52:00 AM"
"19928926","SMART/BTC","Buy","0.00002501","1300.00000000","0.032513","0.00006503","26/10/2017 9:56:00 AM"
"19897359","SMART/BTC","Buy","0.00002420","52.87441646","0.001280","0.00000256","26/10/2017 12:44:00 AM"
"20202489","DCN/BTC","Buy","0.00000002","2495009.98003992","0.049900","0.00009980","30/10/2017 1:10:00 AM"
"21112745","DCN/BTC","Sell","0.00000001","2495009.98003992","0.024950","0.00004990","7/11/2017 10:35:00 PM"
"19997549","COMP/BTC","Buy","0.00000005","1437.71907000","0.000072","0.00000014","27/10/2017 9:19:00 AM"
"19998565","COMP/BTC","Buy","0.00000005","20000.78243513","0.001000","0.00000200","27/10/2017 9:40:00 AM"
"20001365","COMP/BTC","Buy","0.00000005","164491.51696607","0.008225","0.00001645","27/10/2017 10:29:00 AM"
"20001627","COMP/BTC","Buy","0.00000005","14069.98152880","0.000703","0.00000141","27/10/2017 10:33:00 AM"
"20054890","COMP/BTC","Buy","0.00000004","250000.00000000","0.010000","0.00002000","28/10/2017 4:48:00 AM"
"20071225","COMP/BTC","Buy","0.00000003","333333.33333333","0.010000","0.00002000","28/10/2017 10:06:00 AM"
"20624769","COMP/BTC","Buy","0.00000002","25597.08594069","0.000512","0.00000102","3/11/2017 8:09:00 AM"
"20626863","COMP/BTC","Buy","0.00000002","9000.00000000","0.000180","0.00000036","3/11/2017 8:31:00 AM"
"20659601","COMP/BTC","Buy","0.00000002","47699.10179641","0.000954","0.00000191","3/11/2017 3:01:00 PM"
"21347213","COMP/BTC","Sell","0.00000003","10000.00000000","0.000300","0.00000060","9/11/2017 9:32:00 PM"
"21347214","COMP/BTC","Sell","0.00000003","1008010.02550229","0.030240","0.00006048","9/11/2017 9:32:00 PM"
"21347254","COMP/BTC","Sell","0.00000003","1046673.32002661","0.031400","0.00006280","9/11/2017 9:32:00 PM"
"20202289","COMP/BTC","Buy","0.00000003","1112073.38954777","0.033362","0.00006672","30/10/2017 1:07:00 AM"
