snapped_at,pBCH
2017-08-02 00:00:00 UTC,85003.49833
2017-08-03 00:00:00 UTC,43858.08572
2017-08-04 00:00:00 UTC,25972.31465
2017-08-05 00:00:00 UTC,22897.56134
2017-08-06 00:00:00 UTC,23931.6691
2017-08-07 00:00:00 UTC,35463.2199
2017-08-08 00:00:00 UTC,37564.04321
2017-08-09 00:00:00 UTC,33028.60057
2017-08-10 00:00:00 UTC,29640.93603
2017-08-11 00:00:00 UTC,35244.94611
2017-08-12 00:00:00 UTC,33882.92631
2017-08-13 00:00:00 UTC,32124.03893
2017-08-14 00:00:00 UTC,32130.00574
2017-08-15 00:00:00 UTC,32819.0994
2017-08-16 00:00:00 UTC,32445.14474
2017-08-17 00:00:00 UTC,32400.7947
2017-08-18 00:00:00 UTC,77080.45875
2017-08-19 00:00:00 UTC,73081.72372
2017-08-20 00:00:00 UTC,76469.60792
2017-08-21 00:00:00 UTC,64928.05981
2017-08-22 00:00:00 UTC,75160.06602
2017-08-23 00:00:00 UTC,72313.68967
2017-08-24 00:00:00 UTC,67347.39953
2017-08-25 00:00:00 UTC,69024.01086
2017-08-26 00:00:00 UTC,66679.28729
2017-08-27 00:00:00 UTC,66679.02913
2017-08-28 00:00:00 UTC,63503.57156
2017-08-29 00:00:00 UTC,59090.32757
2017-08-30 00:00:00 UTC,62919.98745
2017-08-31 00:00:00 UTC,64443.28129
2017-09-01 00:00:00 UTC,68194.99826
2017-09-02 00:00:00 UTC,62957.13032
2017-09-03 00:00:00 UTC,66678.0685
2017-09-04 00:00:00 UTC,57768.83041
2017-09-05 00:00:00 UTC,59833.67049
2017-09-06 00:00:00 UTC,69387.19522
2017-09-07 00:00:00 UTC,70592.75788
2017-09-08 00:00:00 UTC,65705.06004
2017-09-09 00:00:00 UTC,62880.44878
2017-09-10 00:00:00 UTC,59995.03266
2017-09-11 00:00:00 UTC,60945.8522
2017-09-12 00:00:00 UTC,59327.18967
2017-09-13 00:00:00 UTC,56762.17591
2017-09-14 00:00:00 UTC,40243.97469
2017-09-15 00:00:00 UTC,46507.07156
2017-09-16 00:00:00 UTC,48589.72007
2017-09-17 00:00:00 UTC,47823.14533
2017-09-18 00:00:00 UTC,53222.50831
2017-09-19 00:00:00 UTC,59265.86517
2017-09-20 00:00:00 UTC,53476.17259
2017-09-21 00:00:00 UTC,46913.58083
2017-09-22 00:00:00 UTC,46587.12478
2017-09-23 00:00:00 UTC,47791.78444
2017-09-24 00:00:00 UTC,47352.42933
2017-09-25 00:00:00 UTC,49293.8463
2017-09-26 00:00:00 UTC,49484.90492
2017-09-27 00:00:00 UTC,51303.28978
2017-09-28 00:00:00 UTC,50074.74712
2017-09-29 00:00:00 UTC,49010.15595
2017-09-30 00:00:00 UTC,48432.9617
2017-10-01 00:00:00 UTC,46741.77888
2017-10-02 00:00:00 UTC,47052.32102
2017-10-03 00:00:00 UTC,45615.57997
2017-10-04 00:00:00 UTC,40478.22389
2017-10-05 00:00:00 UTC,40012.12287
2017-10-06 00:00:00 UTC,40870.80825
2017-10-07 00:00:00 UTC,40428.29844
2017-10-08 00:00:00 UTC,38352.92552
2017-10-09 00:00:00 UTC,35554.47954
2017-10-10 00:00:00 UTC,36431.82913
2017-10-11 00:00:00 UTC,35375.39083
2017-10-12 00:00:00 UTC,34979.61667
2017-10-13 00:00:00 UTC,35864.01443
2017-10-14 00:00:00 UTC,35626.53499
2017-10-15 00:00:00 UTC,35162.58968
2017-10-16 00:00:00 UTC,34947.21076
2017-10-17 00:00:00 UTC,40140.51394
2017-10-18 00:00:00 UTC,38427.58275
2017-10-19 00:00:00 UTC,37405.71998
2017-10-20 00:00:00 UTC,37017.71519
2017-10-21 00:00:00 UTC,37043.59538
2017-10-22 00:00:00 UTC,37931.17556
2017-10-23 00:00:00 UTC,36307.36734
2017-10-24 00:00:00 UTC,37435.58951
2017-10-25 00:00:00 UTC,38057.22955
2017-10-26 00:00:00 UTC,38551.52721
2017-10-27 00:00:00 UTC,42086.65295
2017-10-28 00:00:00 UTC,48457.91112
2017-10-29 00:00:00 UTC,50423.363
2017-10-30 00:00:00 UTC,50742.151
2017-10-31 00:00:00 UTC,50005.19842
2017-11-01 00:00:00 UTC,60649.40393
2017-11-02 00:00:00 UTC,67972.45865
2017-11-03 00:00:00 UTC,73738.68708
2017-11-04 00:00:00 UTC,70816.54537
2017-11-05 00:00:00 UTC,71846.60386
2017-11-06 00:00:00 UTC,68870.78718
2017-11-07 00:00:00 UTC,70176.37657
2017-11-08 00:00:00 UTC,70826.04607
2017-11-09 00:00:00 UTC,75109.03079
2017-11-10 00:00:00 UTC,114719.0262
2017-11-11 00:00:00 UTC,155106.1555
2017-11-12 00:00:00 UTC,174945.8676
2017-11-13 00:00:00 UTC,154965.1109
2017-11-14 00:00:00 UTC,145728.2436
2017-11-15 00:00:00 UTC,138010.7381
2017-11-16 00:00:00 UTC,103302.4006
2017-11-17 00:00:00 UTC,130908.2215
2017-11-18 00:00:00 UTC,140031.2224
2017-11-19 00:00:00 UTC,131120.2561
2017-11-20 00:00:00 UTC,138233.6214
2017-11-21 00:00:00 UTC,132438.1436
2017-11-22 00:00:00 UTC,145599.6013
2017-11-23 00:00:00 UTC,183359.8298
2017-11-24 00:00:00 UTC,185688.1649
2017-11-25 00:00:00 UTC,176648.7257
2017-11-26 00:00:00 UTC,190100.298
2017-11-27 00:00:00 UTC,182224.3525
2017-11-28 00:00:00 UTC,175723.4594
2017-11-29 00:00:00 UTC,150832.2027
2017-11-30 00:00:00 UTC,159994.9538
2017-12-01 00:00:00 UTC,165039.5819
2017-12-02 00:00:00 UTC,163604.1153
2017-12-03 00:00:00 UTC,176071.0462
2017-12-04 00:00:00 UTC,177330.1783
2017-12-05 00:00:00 UTC,173026.9222
2017-12-06 00:00:00 UTC,153200.2555
2017-12-07 00:00:00 UTC,160739.265
2017-12-08 00:00:00 UTC,170144.0692
2017-12-09 00:00:00 UTC,164403.9716
2017-12-10 00:00:00 UTC,153194.4898
