snapped_at,pBTC
2013-04-28 00:00:00 UTC,13203.1967
2013-04-29 00:00:00 UTC,14108.4087
2013-04-30 00:00:00 UTC,13629.7741
2013-05-01 00:00:00 UTC,11364.3607
2013-05-02 00:00:00 UTC,10350.6908
2013-05-03 00:00:00 UTC,9602.7634
2013-05-04 00:00:00 UTC,11128.1292
2013-05-05 00:00:00 UTC,11470.4956
2013-05-06 00:00:00 UTC,11124.2848
2013-05-07 00:00:00 UTC,10880.571
2013-05-08 00:00:00 UTC,11212.6763
2013-05-09 00:00:00 UTC,11162.7722
2013-05-10 00:00:00 UTC,11759.7846
2013-05-11 00:00:00 UTC,11692.9992
2013-05-12 00:00:00 UTC,11657.2829
2013-05-13 00:00:00 UTC,11999.2777
2013-05-14 00:00:00 UTC,11334.1774
2013-05-15 00:00:00 UTC,11652.9114
2013-05-16 00:00:00 UTC,12063.1261
2013-05-17 00:00:00 UTC,12634.1738
2013-05-18 00:00:00 UTC,12687.0613
2013-05-19 00:00:00 UTC,12606.8082
2013-05-20 00:00:00 UTC,12526.8678
2013-05-21 00:00:00 UTC,12598.8455
2013-05-22 00:00:00 UTC,12701.8326
2013-05-23 00:00:00 UTC,13002.9701
2013-05-24 00:00:00 UTC,13574.428
2013-05-25 00:00:00 UTC,13402.6118
2013-05-26 00:00:00 UTC,13519.5232
2013-05-27 00:00:00 UTC,13131.0682
2013-05-28 00:00:00 UTC,13040.6351
2013-05-29 00:00:00 UTC,13488.0128
2013-05-30 00:00:00 UTC,13058.8421
2013-05-31 00:00:00 UTC,13001.7041
2013-06-01 00:00:00 UTC,13017.0559
2013-06-02 00:00:00 UTC,12321.0839
2013-06-03 00:00:00 UTC,12141.1971
2013-06-05 00:00:00 UTC,12203.5904
2013-06-06 00:00:00 UTC,11832.8605
2013-06-07 00:00:00 UTC,10894.2589
2013-06-08 00:00:00 UTC,10524.0454
2013-06-09 00:00:00 UTC,9779.8091
2013-06-10 00:00:00 UTC,10391.0633
2013-06-11 00:00:00 UTC,10749.8813
2013-06-12 00:00:00 UTC,10539.9981
2013-06-13 00:00:00 UTC,10021.4594
2013-06-14 00:00:00 UTC,9544.2665
2013-06-15 00:00:00 UTC,9425.0795
2013-06-16 00:00:00 UTC,9423.6647
2013-06-17 00:00:00 UTC,9601.819
2013-06-18 00:00:00 UTC,10149.4555
2013-06-19 00:00:00 UTC,10311.936
2013-06-20 00:00:00 UTC,10665.5195
2013-06-21 00:00:00 UTC,10624.9553
2013-06-22 00:00:00 UTC,10575.372
2013-06-23 00:00:00 UTC,10550.1828
2013-06-24 00:00:00 UTC,10018.5611
2013-06-25 00:00:00 UTC,10104.905
2013-06-26 00:00:00 UTC,10181.0559
2013-06-27 00:00:00 UTC,9940.0879
2013-06-28 00:00:00 UTC,9299.357
2013-06-29 00:00:00 UTC,9395.602
2013-06-30 00:00:00 UTC,9665.3685
2013-07-01 00:00:00 UTC,8399.1578
2013-07-02 00:00:00 UTC,8725.5938
2013-07-03 00:00:00 UTC,7707.9216
2013-07-04 00:00:00 UTC,7763.3709
2013-07-05 00:00:00 UTC,6641.8319
2013-07-06 00:00:00 UTC,6732.3105
2013-07-07 00:00:00 UTC,7326.8975
2013-07-08 00:00:00 UTC,7553.1194
2013-07-09 00:00:00 UTC,7497.8553
2013-07-10 00:00:00 UTC,8548.0005
2013-07-11 00:00:00 UTC,9092.1902
2013-07-12 00:00:00 UTC,8794.4261
2013-07-13 00:00:00 UTC,9064.4481
2013-07-14 00:00:00 UTC,8970.8808
2013-07-15 00:00:00 UTC,9244.1976
2013-07-16 00:00:00 UTC,9249.0521
2013-07-17 00:00:00 UTC,8995.6646
2013-07-18 00:00:00 UTC,8507.2926
2013-07-19 00:00:00 UTC,8586.7236
2013-07-20 00:00:00 UTC,8589.4518
2013-07-21 00:00:00 UTC,8587.8232
2013-07-22 00:00:00 UTC,8646.8935
2013-07-23 00:00:00 UTC,8687.143
2013-07-24 00:00:00 UTC,8723.8536
2013-07-25 00:00:00 UTC,8956.7562
2013-07-26 00:00:00 UTC,9025.6208
2013-07-27 00:00:00 UTC,8793.2704
2013-07-28 00:00:00 UTC,9056.938
2013-07-29 00:00:00 UTC,9157.3304
2013-07-30 00:00:00 UTC,9436.5687
2013-07-31 00:00:00 UTC,9599.8609
2013-08-01 00:00:00 UTC,9433.6784
2013-08-02 00:00:00 UTC,9629.4567
2013-08-03 00:00:00 UTC,9570.2338
2013-08-04 00:00:00 UTC,9564.0677
2013-08-05 00:00:00 UTC,9587.6368
2013-08-06 00:00:00 UTC,9560.0107
2013-08-07 00:00:00 UTC,9497.8842
2013-08-08 00:00:00 UTC,9175.7185
2013-08-09 00:00:00 UTC,9020.1464
2013-08-10 00:00:00 UTC,8987.5829
2013-08-11 00:00:00 UTC,9067.9712
2013-08-12 00:00:00 UTC,9156.8664
2013-08-13 00:00:00 UTC,9492.0206
2013-08-14 00:00:00 UTC,9591.0368
2013-08-15 00:00:00 UTC,9560.7496
2013-08-16 00:00:00 UTC,9590.3911
2013-08-17 00:00:00 UTC,9717.2544
2013-08-18 00:00:00 UTC,9642.0473
2013-08-19 00:00:00 UTC,9987.7754
2013-08-20 00:00:00 UTC,10253.9933
2013-08-21 00:00:00 UTC,10855.6691
2013-08-22 00:00:00 UTC,10718.4172
2013-08-23 00:00:00 UTC,10591.5662
2013-08-24 00:00:00 UTC,10724.6424
2013-08-25 00:00:00 UTC,11037.873
2013-08-26 00:00:00 UTC,11077.2736
2013-08-27 00:00:00 UTC,11570.5896
2013-08-28 00:00:00 UTC,11485.6736
2013-08-29 00:00:00 UTC,11533.5934
2013-08-30 00:00:00 UTC,12092.8228
2013-08-31 00:00:00 UTC,12709.3201
2013-09-01 00:00:00 UTC,12612.7159
2013-09-02 00:00:00 UTC,12629.3697
2013-09-03 00:00:00 UTC,12688.5187
2013-09-04 00:00:00 UTC,12020.1579
2013-09-05 00:00:00 UTC,12058.3298
2013-09-06 00:00:00 UTC,11554.5015
2013-09-07 00:00:00 UTC,11810.7809
2013-09-08 00:00:00 UTC,11603.6977
2013-09-09 00:00:00 UTC,11940.292
2013-09-10 00:00:00 UTC,12167.1065
2013-09-11 00:00:00 UTC,12543.4601
2013-09-12 00:00:00 UTC,12526.0491
2013-09-13 00:00:00 UTC,12579.967
2013-09-14 00:00:00 UTC,12331.789
2013-09-15 00:00:00 UTC,12326.9483
2013-09-16 00:00:00 UTC,12392.0155
2013-09-17 00:00:00 UTC,12484.9201
2013-09-18 00:00:00 UTC,12428.4863
2013-09-19 00:00:00 UTC,12327.7995
2013-09-20 00:00:00 UTC,12199.7197
2013-09-21 00:00:00 UTC,12185.5757
2013-09-22 00:00:00 UTC,12177.0176
2013-09-23 00:00:00 UTC,12090.8967
2013-09-24 00:00:00 UTC,12111.5
2013-09-25 00:00:00 UTC,12160.5846
2013-09-26 00:00:00 UTC,12201.9374
2013-09-27 00:00:00 UTC,12149.1453
2013-09-28 00:00:00 UTC,12267.8759
2013-09-29 00:00:00 UTC,12263.9982
2013-09-30 00:00:00 UTC,12100.4693
2013-10-01 00:00:00 UTC,12307.9218
2013-10-02 00:00:00 UTC,9747.7365
2013-10-03 00:00:00 UTC,11390.4348
2013-10-04 00:00:00 UTC,11817.9925
2013-10-05 00:00:00 UTC,11801.9779
2013-10-06 00:00:00 UTC,11848.599
2013-10-07 00:00:00 UTC,11938.215
2013-10-08 00:00:00 UTC,12049.521
2013-10-09 00:00:00 UTC,12243.5085
2013-10-10 00:00:00 UTC,12318.2673
2013-10-11 00:00:00 UTC,12345.5693
2013-10-12 00:00:00 UTC,12465.9041
2013-10-13 00:00:00 UTC,12834.4256
2013-10-14 00:00:00 UTC,13113.3447
2013-10-15 00:00:00 UTC,13626.2033
2013-10-16 00:00:00 UTC,13559.1012
2013-10-17 00:00:00 UTC,13987.9342
2013-10-18 00:00:00 UTC,14639.1229
2013-10-19 00:00:00 UTC,15629.3408
2013-10-20 00:00:00 UTC,15951.8125
2013-10-21 00:00:00 UTC,17085.5392
2013-10-22 00:00:00 UTC,18045.1899
2013-10-23 00:00:00 UTC,19561.7418
2013-10-24 00:00:00 UTC,17828.7099
2013-10-25 00:00:00 UTC,17340.7547
2013-10-26 00:00:00 UTC,17128.7605
2013-10-27 00:00:00 UTC,18104.3052
2013-10-28 00:00:00 UTC,18341.6389
2013-10-29 00:00:00 UTC,19430.9099
2013-10-30 00:00:00 UTC,19123.8806
2013-10-31 00:00:00 UTC,19490.6245
2013-11-01 00:00:00 UTC,19566.122
2013-11-02 00:00:00 UTC,19814.5411
2013-11-03 00:00:00 UTC,20477.5862
2013-11-04 00:00:00 UTC,22213.4141
2013-11-05 00:00:00 UTC,23588.4017
2013-11-06 00:00:00 UTC,25019.9211
