通貨 : 売却数  購入数 売却額総平均  購入額総平均
BCH : 3725.5981186599984  3886.9274208999923  164807.1345615987 161904.61979921136
BTC : 913.0337772202824 896.4424707487829 724303.0414231919 721949.7263116481
USD : 1488.316  1466.03072  112.56  112.56
ETH : 70.0  70.00000000000001 39159.13772518119 39489.6515506036
IOTA : 4965.81108596  4965.811085960001 310.27712484563364  320.684743328397
NEO : 1211.58713967 1211.58713985 4751.740464282985 4751.463379465753
SMART : 6314.90979008 6314.909790080001 8.406144446063244 17.714565508860073
DCN : 2495009.98003992  2495009.98003992  0.008148522483779688  0.013809277638668495
COMP : 4941683.300066531  4941683.30006653  0.024437176159839234  0.01936544875794255
JPY : 30900389.472340006  27933853.835500006  0.9999999955147175  1.0000000039476895
ZAIF : 0.0  2154694.4000000004  0 0.8154790926917522
XEM : 20000.0 20000.0 39.0  34.5
Profit : 6104385.4133480545
