snapped_at,pUSD
2007/4/2,117.84
2007/4/3,117.84
2007/4/4,118.92
2007/4/5,118.72
2007/4/6,118.72
2007/4/9,119.28
2007/4/10,119.34
2007/4/11,119.06
2007/4/12,119.38
2007/4/13,119.16
2007/4/16,119.21
2007/4/17,119.75
2007/4/18,118.9
2007/4/19,118.66
2007/4/20,118.47
2007/4/23,118.67
2007/4/24,118.66
2007/4/25,118.59
2007/4/26,118.71
2007/4/27,119.56
2007/4/30,119.6
2007/5/1,119.47
2007/5/2,119.86
2007/5/3,120.15
2007/5/4,120.44
2007/5/7,120.16
2007/5/8,120.09
2007/5/9,120.03
2007/5/10,120.06
2007/5/11,119.89
2007/5/14,120.21
2007/5/15,120.35
2007/5/16,120.27
2007/5/17,120.83
2007/5/18,121.31
2007/5/21,121.12
2007/5/22,121.46
2007/5/23,121.56
2007/5/24,121.63
2007/5/25,121.39
2007/5/28,121.77
2007/5/29,121.71
2007/5/30,121.66
2007/5/31,121.65
2007/6/1,121.71
2007/6/4,122.04
2007/6/5,121.77
2007/6/6,121.39
2007/6/7,121.09
2007/6/8,120.97
2007/6/11,121.67
2007/6/12,121.72
2007/6/13,121.69
2007/6/14,122.71
2007/6/15,122.93
2007/6/18,123.54
2007/6/19,123.68
2007/6/20,123.37
2007/6/21,123.53
2007/6/22,123.72
2007/6/25,123.9
2007/6/26,123.66
2007/6/27,123.26
2007/6/28,122.83
2007/6/29,123.18
2007/7/2,123.12
2007/7/3,122.43
2007/7/4,122.47
2007/7/5,122.71
2007/7/6,122.94
2007/7/9,123.47
2007/7/10,123.41
2007/7/11,121.74
2007/7/12,122.46
2007/7/13,122.42
2007/7/16,122.11
2007/7/17,121.9
2007/7/18,122.34
2007/7/19,121.95
2007/7/20,122.01
2007/7/23,121.35
2007/7/24,121.09
2007/7/25,120.25
2007/7/26,120.5
2007/7/27,118.69
2007/7/30,118.34
2007/7/31,119.06
2007/8/1,118.62
2007/8/2,118.93
2007/8/3,119.21
2007/8/6,117.56
2007/8/7,118.88
2007/8/8,118.84
2007/8/9,119.71
2007/8/10,118.16
2007/8/13,118.39
2007/8/14,118.24
2007/8/15,117.58
2007/8/16,116.61
2007/8/17,113.89
2007/8/20,113.97
2007/8/21,114.88
2007/8/22,114.44
2007/8/23,115.31
2007/8/24,116.19
2007/8/27,116.71
2007/8/28,115.87
2007/8/29,114.28
2007/8/30,116.15
2007/8/31,115.85
2007/9/3,115.91
2007/9/4,115.97
2007/9/5,116.34
2007/9/6,115.25
2007/9/7,115.38
2007/9/10,112.71
2007/9/11,113.72
2007/9/12,114.27
2007/9/13,114.22
2007/9/14,115.09
2007/9/17,115.22
2007/9/18,115.12
2007/9/19,116.07
2007/9/20,116.09
2007/9/21,114.73
2007/9/24,115.34
2007/9/25,114.87
2007/9/26,114.78
2007/9/27,115.56
2007/9/28,115.63
2007/10/1,114.84
2007/10/2,115.75
2007/10/3,115.74
2007/10/4,116.72
2007/10/5,116.45
2007/10/8,116.97
2007/10/9,117.41
2007/10/10,117.13
2007/10/11,117.22
2007/10/12,117.29
2007/10/15,117.56
2007/10/16,117.39
2007/10/17,116.91
2007/10/18,116.66
2007/10/19,115.63
2007/10/22,113.73
2007/10/23,114.56
2007/10/24,114.78
2007/10/25,114.27
2007/10/26,114.18
2007/10/29,114.12
2007/10/30,114.66
2007/10/31,114.64
2007/11/1,115.44
2007/11/2,114.68
2007/11/5,114.62
2007/11/6,114.54
2007/11/7,114.72
2007/11/8,112.63
2007/11/9,112.6
2007/11/12,110.47
2007/11/13,109.41
2007/11/14,110.91
2007/11/15,111.32
2007/11/16,110.29
2007/11/19,110.81
2007/11/20,109.77
2007/11/21,109.98
2007/11/22,108.41
2007/11/23,108.44
2007/11/26,108.47
2007/11/27,107.41
2007/11/28,108.97
2007/11/29,110.03
2007/11/30,109.94
2007/12/3,110.97
2007/12/4,110.47
2007/12/5,109.88
2007/12/6,110.9
2007/12/7,111.33
2007/12/10,111.63
2007/12/11,111.7
2007/12/12,110.67
2007/12/13,112.2
2007/12/14,112.22
2007/12/17,113.31
2007/12/18,112.94
2007/12/19,113.4
2007/12/20,113.43
2007/12/21,113.16
2007/12/24,114.03
2007/12/25,114.29
2007/12/26,114.16
2007/12/27,114.25
2007/12/28,113.72
2008/1/2,111.72
2008/1/3,109.66
2008/1/4,109.45
2008/1/7,108.64
2008/1/8,109.18
2008/1/9,108.9
2008/1/10,110.04
2008/1/11,109.34
2008/1/14,108.78
2008/1/15,108.16
2008/1/16,106.78
2008/1/17,107.62
2008/1/18,106.54
2008/1/21,106.84
2008/1/22,106
2008/1/23,106.44
2008/1/24,106.72
2008/1/25,107.18
2008/1/28,106.81
2008/1/29,106.9
2008/1/30,107.12
2008/1/31,106.25
2008/2/1,106.43
2008/2/4,106.66
2008/2/5,106.72
2008/2/6,106.82
2008/2/7,106.53
2008/2/8,107.48
2008/2/11,107.53
2008/2/12,106.97
2008/2/13,107.31
2008/2/14,108.31
2008/2/15,107.85
2008/2/18,107.81
2008/2/19,108.22
2008/2/20,107.78
2008/2/21,108.12
2008/2/22,107.41
2008/2/25,107.27
2008/2/26,108.06
2008/2/27,107.28
2008/2/28,106.48
2008/2/29,105.37
2008/3/3,103.21
2008/3/4,103.49
2008/3/5,103.37
2008/3/6,104.02
2008/3/7,102.68
2008/3/10,102.13
2008/3/11,101.75
2008/3/12,103.42
2008/3/13,101.78
2008/3/14,100.65
2008/3/17,98.72
2008/3/18,97.33
2008/3/19,99.85
2008/3/20,99.05
2008/3/21,99.49
2008/3/24,99.53
2008/3/25,100.75
2008/3/26,99.98
2008/3/27,99.2
2008/3/28,99.66
2008/3/31,98.96
2008/4/1,99.69
2008/4/2,101.84
2008/4/3,102.36
2008/4/4,102.27
2008/4/7,101.63
2008/4/8,102.41
2008/4/9,102.66
2008/4/10,101.81
2008/4/11,101.94
2008/4/14,101.23
2008/4/15,101.1
2008/4/16,101.82
2008/4/17,101.83
2008/4/18,102.48
2008/4/21,104.03
2008/4/22,103.27
2008/4/23,103.03
2008/4/24,103.38
2008/4/25,104.28
2008/4/28,104.47
2008/4/29,104.19
2008/4/30,104.02
2008/5/1,103.87
2008/5/2,104.43
2008/5/5,105.31
2008/5/6,104.85
2008/5/7,104.77
2008/5/8,104.73
2008/5/9,103.73
2008/5/12,102.88
2008/5/13,103.75
2008/5/14,104.75
2008/5/15,105.05
2008/5/16,104.75
2008/5/19,104.11
2008/5/20,104.33
2008/5/21,103.67
2008/5/22,103.06
2008/5/23,104.07
2008/5/26,103.4
2008/5/27,103.42
2008/5/28,104.24
2008/5/29,104.69
2008/5/30,105.5
2008/6/2,105.41
2008/6/3,104.43
2008/6/4,105.09
2008/6/5,105.22
2008/6/6,105.96
2008/6/9,104.66
2008/6/10,106.3
2008/6/11,107.44
2008/6/12,106.97
2008/6/13,107.96
2008/6/16,108.24
2008/6/17,108.22
2008/6/18,107.93
2008/6/19,107.88
2008/6/20,108
2008/6/23,107.44
2008/6/24,107.84
2008/6/25,107.82
2008/6/26,107.81
2008/6/27,106.81
2008/6/30,106.26
2008/7/1,106.22
2008/7/2,106.13
2008/7/3,105.94
2008/7/4,106.73
2008/7/7,106.77
2008/7/8,107.19
2008/7/9,107.5
2008/7/10,106.76
2008/7/11,107.07
2008/7/14,106.47
2008/7/15,106.15
2008/7/16,104.73
2008/7/17,105.13
2008/7/18,106.28
