注文,価格,数量,手数料,ボーナス,日時
買い,883490JPY,0.0005BTC,,,2018/07/24 17:49
買い,884200JPY,0.1698BTC,,,2018/07/24 17:44
買い,884200JPY,0.0060BTC,,,2018/07/24 17:44
買い,884200JPY,0.0242BTC,,,2018/07/24 17:44
売り,114100JPY,0.8768BCH,,,2018/03/08 22:36
売り,114100JPY,0.5BCH,,,2018/03/08 22:36
売り,0.474JPY,468906ZAIF,,,2018/07/24 15:38
売り,0.474JPY,31094ZAIF,,,2018/07/24 15:38
売り,1.131JPY,1075853.7ZAIF,,,2018/03/08 22:24
売り,1.131JPY,78888.1ZAIF,,,2018/03/08 22:23
買い,1.605JPY,637.4ZAIF,,,2018/01/04 10:01
売り,1.68JPY,608ZAIF,,,2018/01/03 14:36
